timestamp,is_forward,syn,ack,fin,rst,psh,urg,ece,cwr,win_size,scan_type,scan_type_strings
0,1,1,0,0,0,0,0,0,0,1024,1,syn open
2.5E-05,0,1,1,0,0,0,0,0,0,64240,1,syn open
9.7E-05,1,0,0,0,1,0,0,0,0,0,1,syn open
0,1,1,0,0,0,0,0,0,0,1024,2,syn closed
2E-05,0,0,1,0,1,0,0,0,0,0,2,syn closed
0,1,0,1,0,0,0,0,0,0,1024,3,ack open
2.3E-05,0,0,0,0,1,0,0,0,0,0,3,ack open
0,1,0,1,0,0,0,0,0,0,1024,4,ack closed
3.7E-05,0,0,0,0,1,0,0,0,0,0,4,ack closed
0,1,0,0,1,0,0,0,0,0,1024,5,fin open
0.100151,1,0,0,1,0,0,0,0,0,1024,5,fin open
0,1,0,0,1,0,0,0,0,0,1024,6,fin closed
2.5E-05,0,0,1,0,1,0,0,0,0,0,6,fin closed
0,1,1,0,0,0,0,0,0,0,64240,7,connect open
3.4E-05,0,1,1,0,0,0,0,0,0,65160,7,connect open
0.000128,1,0,1,0,0,0,0,0,0,64256,7,connect open
0.000157,1,0,1,0,1,0,0,0,0,64256,7,connect open
0,1,1,0,0,0,0,0,0,0,64240,8,connect closed
2.5E-05,0,0,1,0,1,0,0,0,0,0,8,connect closed
0,1,0,1,0,0,0,0,0,0,1024,9,window open
2.1E-05,0,0,0,0,1,0,0,0,0,0,9,window open
0,1,0,1,0,0,0,0,0,0,1024,10,window closed
3.1E-05,0,0,0,0,1,0,0,0,0,0,10,window closed
0,1,1,0,0,0,0,0,0,0,1024,11,version open
2.7E-05,0,1,1,0,0,0,0,0,0,64240,11,version open
8.7E-05,1,0,0,0,1,0,0,0,0,0,11,version open
0.119539,1,1,0,0,0,0,0,0,0,64240,11,version open
0.119554,0,1,1,0,0,0,0,0,0,65160,11,version open
0.119613,1,0,1,0,0,0,0,0,0,64256,11,version open
0.124832,1,0,1,0,0,0,0,0,0,64256,11,version open
0.125184,1,0,1,1,0,0,0,0,0,64256,11,version open
0.125453,0,0,1,1,0,0,0,0,0,65280,11,version open
0.128189,1,0,1,0,0,0,0,0,0,64256,11,version open
0,1,1,0,0,0,0,0,0,0,1024,12,version closed
2.5E-05,0,0,1,0,1,0,0,0,0,0,12,version closed
0,1,0,0,1,0,1,1,0,0,1024,13,xmas open
0.100104,1,0,0,1,0,1,1,0,0,1024,13,xmas open
0,1,0,0,1,0,1,1,0,0,1024,14,xmas closed
2.2E-05,0,0,1,0,1,0,0,0,0,0,14,xmas closed
0,1,0,1,1,0,0,0,0,0,1024,15,maimon open
2.2E-05,0,0,0,0,1,0,0,0,0,0,15,maimon open
0,1,0,1,1,0,0,0,0,0,1024,16,maimon closed
2E-05,0,0,0,0,1,0,0,0,0,0,16,maimon closed
0,1,0,0,0,0,0,0,0,0,1024,17,null open
0.100107,1,0,0,0,0,0,0,0,0,1024,17,null open
0,1,0,0,0,0,0,0,0,0,1024,18,null closed
2.5E-05,0,0,1,0,1,0,0,0,0,0,18,null closed
